@relation Motion

@attribute Entry numeric
@attribute x1 numeric
@attribute y1 numeric
@attribute z1 numeric
@attribute x2 numeric
@attribute y2 numeric
@attribute z2 numeric
@attribute x3 numeric
@attribute y3 numeric
@attribute z3 numeric
@attribute x4 numeric
@attribute y4 numeric
@attribute z4 numeric
@attribute x5 numeric
@attribute y5 numeric
@attribute z5 numeric
@attribute x6 numeric
@attribute y6 numeric
@attribute z6 numeric
@attribute x7 numeric
@attribute y7 numeric
@attribute z7 numeric
@attribute x8 numeric
@attribute y8 numeric
@attribute z8 numeric
@attribute x9 numeric
@attribute y9 numeric
@attribute z9 numeric
@attribute x10 numeric
@attribute y10 numeric
@attribute z10 numeric
@attribute x11 numeric
@attribute y11 numeric
@attribute z11 numeric
@attribute x12 numeric
@attribute y12 numeric
@attribute z12 numeric
@attribute x13 numeric
@attribute y13 numeric
@attribute z13 numeric
@attribute x14 numeric
@attribute y14 numeric
@attribute z14 numeric
@attribute x15 numeric
@attribute y15 numeric
@attribute z15 numeric
@attribute x16 numeric
@attribute y16 numeric
@attribute z16 numeric
@attribute x17 numeric
@attribute y17 numeric
@attribute z17 numeric
@attribute x18 numeric
@attribute y18 numeric
@attribute z18 numeric
@attribute x19 numeric
@attribute y19 numeric
@attribute z19 numeric
@attribute x20 numeric
@attribute y20 numeric
@attribute z20 numeric
@attribute x21 numeric
@attribute y21 numeric
@attribute z21 numeric
@attribute x22 numeric
@attribute y22 numeric
@attribute z22 numeric
@attribute x23 numeric
@attribute y23 numeric
@attribute z23 numeric
@attribute x24 numeric
@attribute y24 numeric
@attribute z24 numeric
@attribute x25 numeric
@attribute y25 numeric
@attribute z25 numeric
@attribute x26 numeric
@attribute y26 numeric
@attribute z26 numeric
@attribute x27 numeric
@attribute y27 numeric
@attribute z27 numeric
@attribute x28 numeric
@attribute y28 numeric
@attribute z28 numeric
@attribute x29 numeric
@attribute y29 numeric
@attribute z29 numeric
@attribute x30 numeric
@attribute y30 numeric
@attribute z30 numeric
@attribute x31 numeric
@attribute y31 numeric
@attribute z31 numeric
@attribute x32 numeric
@attribute y32 numeric
@attribute z32 numeric
@attribute x33 numeric
@attribute y33 numeric
@attribute z33 numeric
@attribute x34 numeric
@attribute y34 numeric
@attribute z34 numeric
@attribute x35 numeric
@attribute y35 numeric
@attribute z35 numeric
@attribute x36 numeric
@attribute y36 numeric
@attribute z36 numeric
@attribute x37 numeric
@attribute y37 numeric
@attribute z37 numeric
@attribute x38 numeric
@attribute y38 numeric
@attribute z38 numeric
@attribute x39 numeric
@attribute y39 numeric
@attribute z39 numeric
@attribute x40 numeric
@attribute y40 numeric
@attribute z40 numeric
@attribute x41 numeric
@attribute y41 numeric
@attribute z41 numeric
@attribute x42 numeric
@attribute y42 numeric
@attribute z42 numeric
@attribute x43 numeric
@attribute y43 numeric
@attribute z43 numeric
@attribute x44 numeric
@attribute y44 numeric
@attribute z44 numeric
@attribute x45 numeric
@attribute y45 numeric
@attribute z45 numeric
@attribute x46 numeric
@attribute y46 numeric
@attribute z46 numeric
@attribute x47 numeric
@attribute y47 numeric
@attribute z47 numeric
@attribute x48 numeric
@attribute y48 numeric
@attribute z48 numeric
@attribute x49 numeric
@attribute y49 numeric
@attribute z49 numeric
@attribute x50 numeric
@attribute y50 numeric
@attribute z50 numeric
@attribute label {3,2,1}

@data
11,0,2.336,9.998,0.545,2.729,8.408,0.545,2.729,8.408,-0.785,3.15,8.178,-0.785,3.15,8.178,0.363,1.589,10.688,0.363,1.589,10.688,0.363,1.589,10.688,-0.038,2.662,9.481,-0.038,2.662,9.481,-0.22,2.394,8.81,-0.22,2.394,8.81,2.509,2.355,4.328,2.509,2.355,4.328,2.509,2.355,4.328,12.728,-13.676,5.286,12.728,-13.676,5.286,3.62,-10.084,1.704,3.62,-10.084,1.704,3.62,-10.084,1.704,5.765,-8.514,0.143,5.765,-8.514,0.143,4.031,-7.91,-0.019,4.031,-7.91,-0.019,4.031,-7.91,-0.019,5.43,-6.608,0.718,5.43,-6.608,0.718,5.43,-6.608,0.718,5.267,-7.23,1.838,5.267,-7.23,1.838,5.267,-7.23,1.838,6.004,-7.661,1.187,6.004,-7.661,1.187,6.004,-7.661,1.187,4.865,-7.728,1.091,4.865,-7.728,1.091,4.865,-7.728,1.091,6.024,-7.23,1.091,6.024,-7.23,1.091,6.024,-7.23,1.091,3.888,-6.799,0.047,3.888,-6.799,0.047,4.022,-6.924,-0.153,4.022,-6.924,-0.153,6.885,-9.672,1.13,6.885,-9.672,1.13,6.885,-9.672,1.13,5.621,-9.088,0.555,5.621,-9.088,0.555,5.679,-6.071,1.015,1
12,0.909,2.126,8.006,3.735,-1.752,4.194,3.735,-1.752,4.194,11.54,-12.383,3.917,11.54,-12.383,3.917,3.763,-7.7,-1.168,3.763,-7.7,-1.168,1.426,-7.996,-0.028,1.426,-7.996,-0.028,3.505,-9.902,-0.134,3.505,-9.902,-0.134,5.305,-9.557,-1.082,5.305,-9.557,-1.082,2.633,-6.483,-0.335,2.633,-6.483,-0.335,3.715,-8.743,-0.45,3.715,-8.743,-0.45,5.372,-10.506,-0.057,5.372,-10.506,-0.057,2.154,-7.565,-0.919,2.154,-7.565,-0.919,2.873,-7.154,-1.551,2.873,-7.154,-1.551,4.395,-9.002,0.038,4.395,-9.002,0.038,4.395,-9.002,0.038,3.581,-10.467,0.565,3.581,-10.467,0.565,6.474,-10.132,0.392,6.474,-10.132,0.392,6.474,-10.132,0.392,4.127,-8.312,0.651,4.127,-8.312,0.651,4.127,-8.312,0.651,4.07,-6.397,0.143,4.07,-6.397,0.143,4.07,-6.397,0.143,3.189,-8.897,0.584,3.189,-8.897,0.584,4.328,-11.712,0.306,4.328,-11.712,0.306,3.869,-6.818,-0.277,3.869,-6.818,-0.277,2.853,-8.14,0.507,2.853,-8.14,0.507,3.361,-10.419,1.35,3.361,-10.419,1.35,3.361,-10.419,1.35,5.257,-9.289,-0.469,5.257,-9.289,-0.469,1
13,0.919,1.676,9.663,4.108,-6.397,2.049,4.108,-6.397,2.049,4.108,-6.397,2.049,4.271,-7.728,0.153,4.271,-7.728,0.153,1.915,-9.5,-0.162,1.915,-9.5,-0.162,1.915,-9.5,-0.162,4.175,-10.554,-0.402,4.175,-10.554,-0.402,4.175,-10.554,-0.402,2.078,-9.5,-0.325,2.078,-9.5,-0.325,2.078,-9.5,-0.325,2.126,-6.809,-0.881,2.126,-6.809,-0.881,3.658,-8.724,0.21,3.658,-8.724,0.21,3.658,-8.724,0.21,3.246,-10.295,0.708,3.246,-10.295,0.708,3.246,-10.295,0.708,4.683,-9.644,-0.938,4.683,-9.644,-0.938,4.683,-9.644,-0.938,2.7,-9.27,-0.306,2.7,-9.27,-0.306,2.7,-9.27,-0.306,4.52,-8.437,-0.699,4.52,-8.437,-0.699,4.52,-8.437,-0.699,2.93,-9.222,-0.191,2.93,-9.222,-0.191,2.93,-9.222,-0.191,4.683,-8.763,-0.632,4.683,-8.763,-0.632,4.683,-8.763,-0.632,3.055,-9.701,1.063,3.055,-9.701,1.063,3.055,-9.701,1.063,4.644,-8.973,-0.67,4.644,-8.973,-0.67,4.644,-8.973,-0.67,2.988,-10.075,0.498,2.988,-10.075,0.498,2.988,-10.075,0.498,5.526,-9.433,-0.498,5.526,-9.433,-0.498,5.526,-9.433,-0.498,1
14,-0.22,2.988,10.142,4.204,-8.303,2.681,4.204,-8.303,2.681,4.194,-5.411,-1.043,4.194,-5.411,-1.043,2.288,-9.759,0.919,2.288,-9.759,0.919,2.231,-11.607,1.743,2.231,-11.607,1.743,3.629,-8.303,-1.216,3.629,-8.303,-1.216,2.988,-6.234,0.459,2.988,-6.234,0.459,2.882,-8.619,-0.536,2.882,-8.619,-0.536,4.884,-11.741,0.086,4.884,-11.741,0.086,2.423,-8.169,-0.363,2.423,-8.169,-0.363,2.365,-6.292,-1.12,2.365,-6.292,-1.12,4.328,-10.372,0.804,4.328,-10.372,0.804,4.328,-10.372,0.804,3.323,-10.582,0.249,3.323,-10.582,0.249,3.323,-10.582,0.249,4.98,-9.797,-0.402,4.98,-9.797,-0.402,4.98,-9.797,-0.402,2.499,-7.058,-0.076,2.499,-7.058,-0.076,2.154,-7.106,-0.325,2.154,-7.106,-0.325,2.154,-7.106,-0.325,3.064,-9.155,0.823,3.064,-9.155,0.823,3.064,-9.155,0.823,2.48,-9.988,1.11,2.48,-9.988,1.11,2.48,-9.988,1.11,4.913,-10.688,0.019,4.913,-10.688,0.019,1.877,-9.079,0.517,1.877,-9.079,0.517,1.877,-9.079,0.517,2.298,-6.866,-0.411,2.298,-6.866,-0.411,3.179,-7.278,0.134,3.179,-7.278,0.134,1
15,2.202,0.718,7.163,8.083,-9.672,2.844,8.083,-9.672,2.844,4.07,-10.314,0.708,4.07,-10.314,0.708,4.07,-10.314,0.708,4.242,-8.255,-0.957,4.242,-8.255,-0.957,4.242,-8.255,-0.957,3.026,-6.225,0.153,3.026,-6.225,0.153,3.84,-7.412,-0.804,3.84,-7.412,-0.804,3.84,-7.412,-0.804,4.826,-10.678,-0.095,4.826,-10.678,-0.095,2.47,-10.841,-0.526,2.47,-10.841,-0.526,2.47,-10.841,-0.526,4.099,-6.981,-0.555,4.099,-6.981,-0.555,2.806,-7.479,-0.574,2.806,-7.479,-0.574,3.38,-8.025,-0.603,3.38,-8.025,-0.603,3.38,-8.025,-0.603,3.514,-8.15,0.019,3.514,-8.15,0.019,3.514,-8.15,0.019,3.917,-7.537,0.258,3.917,-7.537,0.258,3.917,-7.537,0.258,4.252,-7.891,0.019,4.252,-7.891,0.019,4.252,-7.891,0.019,3.658,-7.728,-0.057,3.658,-7.728,-0.057,3.658,-7.728,-0.057,5.114,-7.91,0.277,5.114,-7.91,0.277,5.114,-7.91,0.277,4.884,-9.174,0.335,4.884,-9.174,0.335,5.889,-10.324,0.306,5.889,-10.324,0.306,2.547,-9.567,0.114,2.547,-9.567,0.114,2.547,-9.567,0.114,5.956,-7.173,2.116,5.956,-7.173,2.116,1
16,0.268,1.043,9.5,0.718,0.067,10.276,0.718,0.067,10.276,0.718,0.067,10.276,1.072,-0.43,9.222,1.072,-0.43,9.222,1.072,-0.43,9.222,1.551,-0.316,9.577,1.551,-0.316,9.577,1.388,0.172,9.385,1.388,0.172,9.385,0.622,-0.181,9.663,0.622,-0.181,9.663,0.622,-0.181,9.663,-0.086,1.11,9.557,-0.086,1.11,9.557,1.082,1.561,9.653,1.082,1.561,9.653,0.517,2.403,9.605,0.517,2.403,9.605,0.517,1.57,7.92,0.517,1.57,7.92,0.517,1.57,7.92,1.292,1.082,9.787,1.292,1.082,9.787,0.919,0.143,11.109,0.919,0.143,11.109,0.641,-0.181,9.826,0.641,-0.181,9.826,0.641,-0.181,9.826,0.823,0.392,8.044,0.823,0.392,8.044,0.823,0.392,8.044,0.555,-0.842,9.816,0.555,-0.842,9.816,0.555,-0.842,9.816,1.743,-1.465,10.17,1.743,-1.465,10.17,1.743,-1.465,10.17,0.948,-0.325,10.017,0.948,-0.325,10.017,0.948,-0.325,10.017,0.287,-0.498,8.504,0.287,-0.498,8.504,0.287,-0.498,8.504,0.871,0.114,8.36,0.871,0.114,8.36,0.871,0.114,8.36,0.727,-0.478,10.812,0.727,-0.478,10.812,1
17,0.296,0.028,10.333,0.622,0.881,9.213,0.622,0.881,9.213,0.191,-0.028,10.362,0.191,-0.028,10.362,0.191,-0.028,10.362,0.823,-0.478,10.716,0.823,-0.478,10.716,1.168,0.699,8.15,1.168,0.699,8.15,1.168,0.699,8.15,0.306,-0.249,9.759,0.306,-0.249,9.759,0.306,-0.249,9.759,1.197,-0.373,10.764,1.197,-0.373,10.764,1.446,0.785,9.366,1.446,0.785,9.366,1.446,0.785,9.366,0.421,-0.114,8.274,0.421,-0.114,8.274,0.909,-0.191,10.008,0.909,-0.191,10.008,1.187,0.019,11.157,1.187,0.019,11.157,1.187,0.019,11.157,0.632,-0.028,9.72,0.632,-0.028,9.72,0.632,-0.028,9.72,1.197,0.718,8.303,1.197,0.718,8.303,1.197,0.718,8.303,0.622,-0.229,9.605,0.622,-0.229,9.605,0.622,-0.229,9.605,1.015,-0.143,10.726,1.015,-0.143,10.726,1.015,-0.143,10.726,1.714,0.574,9.902,1.714,0.574,9.902,1.714,0.574,9.902,0.574,-0.086,8.399,0.574,-0.086,8.399,0.574,-0.086,8.399,1.455,0.354,8.705,1.455,0.354,8.705,1.589,-0.019,11.387,1.589,-0.019,11.387,1.589,-0.019,11.387,1.024,-0.316,9.088,1
18,-0.766,1.225,8.906,0.804,-0.258,10.582,0.804,-0.258,10.582,0.488,1.436,10.056,0.488,1.436,10.056,0.488,1.436,10.056,-0.45,0.679,9.021,-0.45,0.679,9.021,-0.45,0.679,9.021,1.225,0.842,8.111,1.225,0.842,8.111,1.225,0.842,8.111,0.881,-0.019,11.138,0.881,-0.019,11.138,1.053,-0.296,10.85,1.053,-0.296,10.85,0.9,1.206,8.906,0.9,1.206,8.906,0.9,1.206,8.906,0.277,0.612,8.849,0.277,0.612,8.849,0.689,0.172,10.151,0.689,0.172,10.151,0.948,0.66,11.09,0.948,0.66,11.09,0.948,0.66,11.09,0.804,0.153,10.4,0.804,0.153,10.4,0.804,0.153,10.4,1.235,1.599,8.906,1.235,1.599,8.906,1.235,1.599,8.906,0.287,0.45,7.757,0.287,0.45,7.757,0.287,0.45,7.757,1.407,0.22,9.002,1.407,0.22,9.002,1.407,0.22,9.002,1.513,-0.402,11.052,1.513,-0.402,11.052,1.513,-0.402,11.052,1.676,-0.67,10.534,1.676,-0.67,10.534,1.676,-0.67,10.534,1.474,1.206,8.849,1.474,1.206,8.849,1.474,1.206,8.849,0.718,0.507,7.891,0.718,0.507,7.891,0.718,0.507,7.891,1
19,0.124,0.986,11.109,0.162,0.794,8.945,0.162,0.794,8.945,0.162,0.794,8.945,1.139,0.737,8.485,1.139,0.737,8.485,1.13,0.383,11.54,1.13,0.383,11.54,1.149,-0.124,10.075,1.149,-0.124,10.075,1.149,-0.124,10.075,1.474,1.417,8.092,1.474,1.417,8.092,1.474,1.417,8.092,0.44,0.134,8.178,0.44,0.134,8.178,0.44,0.134,8.178,1.369,-0.277,10.333,1.369,-0.277,10.333,1.369,-0.277,10.333,1.331,0.229,11.655,1.331,0.229,11.655,0.976,0.306,8.763,0.976,0.306,8.763,0.976,0.306,8.763,1.771,1.091,8.293,1.771,1.091,8.293,1.771,1.091,8.293,1.197,0.181,9.73,1.197,0.181,9.73,1.197,0.181,9.73,1.743,-0.43,10.659,1.743,-0.43,10.659,1.743,-0.43,10.659,1.647,-0.373,11.013,1.647,-0.373,11.013,1.647,-0.373,11.013,1.426,-0.689,8.753,1.426,-0.689,8.753,1.426,-0.689,8.753,1.628,0.057,7.814,1.628,0.057,7.814,1.628,0.057,7.814,1.245,-0.708,9.337,1.245,-0.708,9.337,1.245,-0.708,9.337,1.685,-0.852,10.534,1.685,-0.852,10.534,1.685,-0.852,10.534,1.79,-0.277,10.716,1
20,0.507,0.727,9.644,1.043,0.67,11.348,1.043,0.67,11.348,1.043,0.67,11.348,1.197,0.067,10.237,1.197,0.067,10.237,1.197,0.067,10.237,1.465,0.9,8.36,1.465,0.9,8.36,1.465,0.9,8.36,0.938,0.603,8.696,0.938,0.603,8.696,0.938,0.603,8.696,1.829,0.459,10.793,1.829,0.459,10.793,1.992,1.982,9.481,1.992,1.982,9.481,1.264,0.89,8.312,1.264,0.89,8.312,1.264,0.89,8.312,1.781,0.67,9.931,1.781,0.67,9.931,1.781,0.67,9.931,1.58,0.871,11.262,1.58,0.871,11.262,1.58,0.871,11.262,1.321,0.498,9.615,1.321,0.498,9.615,1.321,0.498,9.615,1.781,1.072,10.668,1.781,1.072,10.668,1.781,1.072,10.668,1.283,0.747,9.605,1.283,0.747,9.605,1.283,0.747,9.605,1.628,1.474,9.414,1.628,1.474,9.414,1.628,1.474,9.414,0.708,1.015,8.552,0.708,1.015,8.552,0.708,1.015,8.552,1.465,1.522,8.38,1.465,1.522,8.38,1.465,1.522,8.38,0.689,1.245,8.494,0.689,1.245,8.494,0.689,1.245,8.494,1.647,1.292,8.791,1.647,1.292,8.791,1.647,1.292,8.791,1
21,9.557,8.667,8.983,10.142,2.93,1.091,10.142,2.93,1.091,16.989,9.739,9.816,16.989,9.739,9.816,13.465,8.14,7.996,13.465,8.14,7.996,13.34,-0.498,6.541,13.34,-0.498,6.541,13.34,-0.498,6.541,10.276,11.578,7.795,10.276,11.578,7.795,6.885,-3.064,-1.321,6.885,-3.064,-1.321,6.885,-3.064,-1.321,7.048,12.804,6.55,7.048,12.804,6.55,7.048,12.804,6.55,2.825,-5.995,-4.223,2.825,-5.995,-4.223,2.825,-5.995,-4.223,5.66,10.946,7.316,5.66,10.946,7.316,5.66,10.946,7.316,5.037,-7.489,-2.078,5.037,-7.489,-2.078,5.037,-7.489,-2.078,8.638,11.004,10.056,8.638,11.004,10.056,8.638,11.004,10.056,9.586,-6.704,-3.811,9.586,-6.704,-3.811,9.586,-6.704,-3.811,11.032,10.056,9.289,11.032,10.056,9.289,11.032,10.056,9.289,12.373,-1.57,0.047,12.373,-1.57,0.047,12.373,-1.57,0.047,12.766,8.255,11.071,12.766,8.255,11.071,12.766,8.255,11.071,11.923,-2.451,1.513,11.923,-2.451,1.513,11.923,-2.451,1.513,17.526,3.706,8.945,17.526,3.706,8.945,17.526,3.706,8.945,13.532,-3.964,-1.494,13.532,-3.964,-1.494,2
22,1.484,3.256,6.024,3.17,-6.512,-3.15,3.17,-6.512,-3.15,3.17,-6.512,-3.15,7.087,11.856,7.134,7.087,11.856,7.134,4.482,-6.512,-4.846,4.482,-6.512,-4.846,4.482,-6.512,-4.846,6.962,9.701,8.858,6.962,9.701,8.858,6.962,9.701,8.858,2.183,-9.73,-2.882,2.183,-9.73,-2.882,4.922,12.172,5.363,4.922,12.172,5.363,4.922,12.172,5.363,-0.268,-7.297,-0.172,-0.268,-7.297,-0.172,-0.268,-7.297,-0.172,5.018,7.872,3.792,5.018,7.872,3.792,2.221,-7.364,-1.149,2.221,-7.364,-1.149,2.221,-7.364,-1.149,3.85,6.885,13.226,3.85,6.885,13.226,3.85,6.885,13.226,5.353,-7.901,-0.641,5.353,-7.901,-0.641,5.353,-7.901,-0.641,12.325,2.001,9.845,12.325,2.001,9.845,12.325,2.001,9.845,12.143,1.838,7.106,12.143,1.838,7.106,12.143,1.838,7.106,5.497,-10.783,0.009,5.497,-10.783,0.009,5.497,-10.783,0.009,8.964,5.573,12.335,8.964,5.573,12.335,8.964,5.573,12.335,3.294,-8.772,0.9,3.294,-8.772,0.9,3.294,-8.772,0.9,10.649,-1.915,6.684,10.649,-1.915,6.684,10.649,-1.915,6.684,8.006,9.136,8.629,2
23,3.074,8.715,6.646,17.909,-4.462,3.064,17.909,-4.462,3.064,17.468,8.418,9.098,17.468,8.418,9.098,0.957,-8.485,-4.597,0.957,-8.485,-4.597,5.631,12.373,12.852,5.631,12.373,12.852,1.168,-5.363,-1.484,1.168,-5.363,-1.484,10.257,4.462,4.75,10.257,4.462,4.75,15.179,-4.846,5.315,15.179,-4.846,5.315,15.409,-1.465,-2.039,15.409,-1.465,-2.039,10.668,8.447,13.695,10.668,8.447,13.695,4.721,-5.363,-8.638,4.721,-5.363,-8.638,9.5,9.423,9.625,9.5,9.423,9.625,9.5,9.423,9.625,14.116,0.047,5.42,14.116,0.047,5.42,14.116,0.047,5.42,9.797,-4.96,-0.134,9.797,-4.96,-0.134,9.797,-4.96,-0.134,11.243,9.634,7.221,11.243,9.634,7.221,11.243,9.634,7.221,5.727,-6.426,-4.156,5.727,-6.426,-4.156,5.727,-6.426,-4.156,12.124,12.105,7.163,12.124,12.105,7.163,12.124,12.105,7.163,12.881,-0.287,-1.072,12.881,-0.287,-1.072,12.881,-0.287,-1.072,4.491,-7.891,-2.786,4.491,-7.891,-2.786,4.491,-7.891,-2.786,8.14,12.153,9.711,8.14,12.153,9.711,8.14,12.153,9.711,2.106,-8.581,-4.51,2.106,-8.581,-4.51,2
24,9.146,0.316,11.664,9.107,-1.819,0.804,9.107,-1.819,0.804,9.107,-1.819,0.804,16.511,5.784,11.061,16.511,5.784,11.061,14.595,-2.212,-2.241,14.595,-2.212,-2.241,18.608,4.261,1.254,18.608,4.261,1.254,16.491,11.348,-4.606,16.491,11.348,-4.606,16.491,11.348,-4.606,15.256,12.871,3.763,15.256,12.871,3.763,14.011,4.079,-0.593,14.011,4.079,-0.593,14.011,4.079,-0.593,17.765,7.067,5.755,17.765,7.067,5.755,17.765,7.067,5.755,13.35,4.166,-1.589,13.35,4.166,-1.589,18.005,4.031,-2.528,18.005,4.031,-2.528,18.005,4.031,-2.528,17.861,-1.11,3.064,17.861,-1.11,3.064,17.334,7.977,7.451,17.334,7.977,7.451,11.454,15.112,15.936,11.454,15.112,15.936,3.945,-11.732,-3.878,3.945,-11.732,-3.878,0.67,11.454,17.028,0.67,11.454,17.028,2.02,-10.381,-3.974,2.02,-10.381,-3.974,2.02,-10.381,-3.974,4.654,9.826,17.056,4.654,9.826,17.056,4.654,9.826,17.056,3.811,-10.027,-2.691,3.811,-10.027,-2.691,3.811,-10.027,-2.691,10.764,9.778,10.707,10.764,9.778,10.707,10.764,9.778,10.707,12.21,-6.617,3.677,12.21,-6.617,3.677,2
25,2.767,7,5.229,-0.105,2.614,-1.982,-0.105,2.614,-1.982,-0.105,2.614,-1.982,14.336,12.804,5.391,14.336,12.804,5.391,14.336,12.804,5.391,10.008,-7.862,-1.81,10.008,-7.862,-1.81,11.55,10.525,6.129,11.55,10.525,6.129,11.55,10.525,6.129,5.209,-8.13,-6.857,5.209,-8.13,-6.857,5.209,-8.13,-6.857,4.874,9.481,9.021,4.874,9.481,9.021,4.874,9.481,9.021,1.197,-11.387,-5.688,1.197,-11.387,-5.688,1.197,-11.387,-5.688,0.689,8.983,6.253,0.689,8.983,6.253,0.689,8.983,6.253,2.183,-10.439,-3.323,2.183,-10.439,-3.323,2.183,-10.439,-3.323,10.132,14.04,9.213,10.132,14.04,9.213,10.132,14.04,9.213,12.45,3.16,-0.785,12.45,3.16,-0.785,12.45,3.16,-0.785,8.351,-5.775,-2.614,8.351,-5.775,-2.614,8.351,-5.775,-2.614,7.546,11.301,7.316,7.546,11.301,7.316,7.546,11.301,7.316,11.013,-5.88,-4.568,11.013,-5.88,-4.568,11.013,-5.88,-4.568,15.553,-4.951,3.715,15.553,-4.951,3.715,15.553,-4.951,3.715,13.992,8.753,6.617,13.992,8.753,6.617,13.992,8.753,6.617,0,-17.19,-3.457,0,-17.19,-3.457,2
26,-2.087,3.581,5.985,3.074,1.206,1.886,3.074,1.206,1.886,-1.666,4.3,2.557,-1.666,4.3,2.557,3.045,-3.284,-4.769,3.045,-3.284,-4.769,-4.424,-0.114,-3.486,-4.424,-0.114,-3.486,4.731,-8.83,-7.834,4.731,-8.83,-7.834,-7.067,1.771,1.245,-7.067,1.771,1.245,7.786,-2.317,2.106,7.786,-2.317,2.106,-3.399,8.638,7.288,-3.399,8.638,7.288,12.124,-2.604,1.79,12.124,-2.604,1.79,8.772,14.7,11.128,8.772,14.7,11.128,8.772,14.7,11.128,18.617,9.385,5.765,18.617,9.385,5.765,11.53,12.852,17.87,11.53,12.852,17.87,5.363,7.786,12.182,5.363,7.786,12.182,0.44,10.917,14.844,0.44,10.917,14.844,18.273,13.465,15.275,18.273,13.465,15.275,16.041,11.377,14.854,16.041,11.377,14.854,19.422,14.787,6.043,19.422,14.787,6.043,15.467,12.182,14.317,15.467,12.182,14.317,15.467,12.182,14.317,8.715,11.655,11.866,8.715,11.655,11.866,8.715,11.655,11.866,7.508,0.593,5.439,7.508,0.593,5.439,0.153,9.72,4.74,0.153,9.72,4.74,0.153,9.72,4.74,5.42,-9.04,-6.56,5.42,-9.04,-6.56,5.42,-9.04,-6.56,2
27,-0.545,4.654,9.912,5.88,8.466,13.178,5.88,8.466,13.178,5.88,8.466,13.178,4.597,-12.182,-2.231,4.597,-12.182,-2.231,4.597,-12.182,-2.231,-3.352,9.577,1.312,-3.352,9.577,1.312,-3.352,9.577,1.312,6.464,-11.511,-1.446,6.464,-11.511,-1.446,-2.451,10.419,2.461,-2.451,10.419,2.461,6.359,-11.004,-2.221,6.359,-11.004,-2.221,-4.778,9.127,0.124,-4.778,9.127,0.124,4.309,-14.289,-2.097,4.309,-14.289,-2.097,-4.922,7.901,-0.996,-4.922,7.901,-0.996,7.412,-13.206,2.193,7.412,-13.206,2.193,4.884,11.483,-0.316,4.884,11.483,-0.316,10.86,-6.579,2.719,10.86,-6.579,2.719,9.586,13.465,4.079,9.586,13.465,4.079,10.688,-0.067,6.656,10.688,-0.067,6.656,0.057,6.493,9.893,0.057,6.493,9.893,0.66,6.761,8.15,0.66,6.761,8.15,1.369,8.006,12.593,1.369,8.006,12.593,1.149,8.14,14.672,1.149,8.14,14.672,9.222,10.19,15.744,9.222,10.19,15.744,8.38,13.771,16.654,8.38,13.771,16.654,15.974,12.526,14.126,15.974,12.526,14.126,4.654,13.982,14.346,4.654,13.982,14.346,13.187,4.482,4.07,13.187,4.482,4.07,2
28,-2.02,2.241,4.855,5.966,-5.056,-1.331,5.966,-5.056,-1.331,-6.359,10.17,4.98,-6.359,10.17,4.98,3.457,-14.327,-3.026,3.457,-14.327,-3.026,-2.863,8.581,-1.589,-2.863,8.581,-1.589,3.447,-17.439,-1.599,3.447,-17.439,-1.599,-0.756,8.945,-1.388,-0.756,8.945,-1.388,8.245,-11.741,2.413,8.245,-11.741,2.413,6.857,10.822,0.383,6.857,10.822,0.383,14.93,4.98,11.674,14.93,4.98,11.674,16.855,15.639,6.205,16.855,15.639,6.205,15.658,13.867,15.543,15.658,13.867,15.543,19.163,7.69,4.683,19.163,7.69,4.683,13.628,15.955,13.331,13.628,15.955,13.331,15.936,13.838,5.075,15.936,13.838,5.075,-1.79,3.572,15.495,-1.79,3.572,15.495,4.587,3.112,9.538,4.587,3.112,9.538,-4.012,2.336,10.218,-4.012,2.336,10.218,4.817,1.723,7.211,4.817,1.723,7.211,-3.38,3.256,5.219,-3.38,3.256,5.219,6.914,-4.673,-3.505,6.914,-4.673,-3.505,-1.992,11.368,6.34,-1.992,11.368,6.34,5.018,-2.901,-0.43,5.018,-2.901,-0.43,-0.756,4.759,4.529,-0.756,4.759,4.529,2.47,0.325,1.206,2.47,0.325,1.206,-4.855,4.558,2.997,2
29,-2.921,2.672,5.411,8.561,-5.899,-3.581,8.561,-5.899,-3.581,-8.217,9.538,10.439,-8.217,9.538,10.439,8.925,-12.411,-0.881,8.925,-12.411,-0.881,0.114,13.886,4.443,0.114,13.886,4.443,7.958,-9.107,-2.087,7.958,-9.107,-2.087,2.576,14.873,6.589,2.576,14.873,6.589,10.448,-5.449,-1.407,10.448,-5.449,-1.407,0.459,13.206,5.631,0.459,13.206,5.631,8.035,-12.306,-1.723,8.035,-12.306,-1.723,-0.814,13.13,6.78,-0.814,13.13,6.78,-0.814,13.13,6.78,4.424,6.215,8.523,4.424,6.215,8.523,4.424,6.215,8.523,-1.245,7.661,14.624,-1.245,7.661,14.624,-1.245,7.661,14.624,14.451,9.864,10.343,14.451,9.864,10.343,14.451,9.864,10.343,12.689,0.421,6.636,12.689,0.421,6.636,4.683,10.41,2.135,4.683,10.41,2.135,4.683,10.41,2.135,5.286,-15.716,2.346,5.286,-15.716,2.346,5.286,-15.716,2.346,-2.719,13.254,1.302,-2.719,13.254,1.302,-2.719,13.254,1.302,6.225,-2.183,-1.58,6.225,-2.183,-1.58,-4.989,4.577,5.219,-4.989,4.577,5.219,-4.989,4.577,5.219,12.21,0.823,4.175,12.21,0.823,4.175,12.21,0.823,4.175,2
